"date","number","place","amount","t_c","branch"
"2024-04-17",,"27","27","OZON","MP"
"2024-04-17",,"5","5","Yandex Market","MP"
"2024-04-17","81505","1","1","CDEK","KF"
"2024-04-17","81460","1","1","CDEK","KF"
"2024-04-17","81445","1","1","CDEK","KF"
"2024-04-17","81463","1","1","CDEK","KF"
"2024-04-17",,"8","1","Biysk","KF"
"2024-04-17","81512","1","1","Pickup","KF"
"2024-04-17","81514","5","1","Pickup","KF"
"2024-04-17","81486","1","1","Pickup","KF"
"2024-04-17","81411","1","1","CDEK","KF"
"2024-04-17","81412","1","1","CDEK","KF"
"2024-04-17","81495","1","1","CDEK","KF"
"2024-04-17","81507","1","1","CDEK","KF"
"2024-04-17","81464","1","1","CDEK","KF"
"2024-04-17","81513","1","1","CDEK","KF"
